Metric,Value
Optimized Short MA Window,46.0
Optimized Long MA Window,166.0
Final Strategy Value (Test),18.45387424924708
Final Buy & Hold Value (Test),18.28332442271471
Strategy Return (%),84.5387424924708
Buy & Hold Return (%),82.8332442271471
Number of Trades (Test),3.0
Average Time per Run (seconds),3.590755581855774
