Metric,Value
Optimized Short MA Window,141.0
Optimized Long MA Window,164.0
Final Strategy Value (Test),16.55137222536817
Final Buy & Hold Value (Test),18.28332442271471
Strategy Return (%),65.51372225368168
Buy & Hold Return (%),82.8332442271471
Number of Trades (Test),5.0
Average Time per Run (seconds),0.3196253776550293
